"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"CHIN 148",0,0,0,1,0,0,0,0,0,0,0,1,1
"CHIN 150",0,1,0,0,0,0,0,0,0,0,0,0,0
"CHIN 166",0,1,0,0,0,0,0,0,0,0,0,1,0
"CHIN 170",0,1,0,0,0,0,0,0,1,0,0,1,0
"CHIN 176",0,0,0,0,0,0,0,0,1,0,0,1,0
"CHIN 183",0,0,0,1,0,0,0,0,0,0,0,1,0
"CHIN 184",0,1,0,1,0,0,0,0,0,0,0,1,0
"CHIN 185",0,1,0,1,0,0,0,0,0,0,0,1,0
"CHIN 26",0,0,0,1,0,0,0,0,0,0,0,1,0
"CHIN 3",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHIN 32",0,0,0,1,0,0,0,0,0,0,0,1,0
"CHIN 35",0,0,0,0,0,0,0,0,0,0,0,1,1
"CHIN 4",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHIN 40",0,1,0,0,0,0,0,0,1,0,0,1,0
"CHIN 5",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHIN 6",1,0,0,0,0,0,0,0,0,0,0,0,0
"CHIN 80",0,0,0,0,0,0,0,0,0,0,0,0,1
"CLASS 101",0,0,0,1,0,0,0,0,0,0,1,0,0
"CLASS 102",0,1,0,0,0,0,0,0,1,0,1,0,1
"CLASS 106",0,1,0,1,0,0,0,0,0,0,1,0,0
"CLASS 109",0,1,0,0,0,0,0,0,0,0,1,0,1
"CLASS 110",0,1,0,0,0,0,0,0,0,0,1,0,1
"CLASS 130",0,0,0,0,0,0,0,0,0,0,1,0,1
"CLASS 140",0,0,0,1,0,0,0,0,0,0,1,0,0
"CLASS 150",0,0,0,1,0,0,0,0,0,0,1,0,0
"CLASS 151",0,0,0,1,0,0,0,0,0,0,0,0,0
"CLASS 152",0,0,0,1,0,0,0,0,0,0,1,0,0
"CLASS 165",0,0,0,0,0,0,0,0,1,0,1,0,0
"CLASS 170",0,0,0,0,0,0,0,0,1,0,1,0,0
